1382591497,mcintyre-805-1__demo-model__demo-lab-b,mcintyre-810-1__demo-model__demo-lab-b,mcintyre-825-1__demo-model__demo-lab-b,mcintyre-815-1__demo-model__demo-lab-b,mcintyre-815-2__demo-model__demo-lab-b,mcintyre-1012-1__demo-model__demo-lab-b,mcintyre-1307-1__demo-model__demo-lab-b,mcintyre-1312-1__demo-model__demo-lab-b,mcintyre-1002-1__demo-model__demo-lab-b,mcintyre-1317-1__demo-model__demo-lab-b,mcintyre-1217-1__demo-model__demo-lab-b,mcintyre-1309-1__demo-model__demo-lab-b,mcintyre-1003-1__demo-model__demo-lab-b,mcintyre-1314-1__demo-model__demo-lab-b,mcintyre-1313-1__demo-model__demo-lab-b,mcintyre-1303-1__demo-model__demo-lab-b,mcintyre-800-2__demo-model__demo-lab-b,mcintyre-800-1__demo-model__demo-lab-b,mcintyre-944-1__demo-model__demo-lab-b
2013-10-24 00:00:00-05:00,200.0,632.722241666667,642.4444638888891,586.9791666666666,650.0,650.0,500.8402680555555,522.9097222222222,200.0,650.0,626.1111305555555,518.6197649305554,200.0,399.77776805555555,650.0,200.0,650.0,650.0,502.2499999999998
2013-10-24 01:00:00-05:00,200.0,632.722241666667,642.4444638888891,586.9791666666666,650.0,650.0,500.8402680555555,522.9097222222221,200.0,650.0,626.1111305555555,518.8628237268517,200.0,400.14235625000003,650.0,200.0,650.0,650.0,502.2499999999998
2013-10-24 02:00:00-05:00,200.0,632.722241666667,642.4444638888891,586.9791666666666,650.0,650.0,500.8402680555555,522.9097222222221,200.0,650.0,626.1111305555555,519.0451178240739,200.0,400.0815915509259,650.0,200.0,650.0,650.0,502.2499999999998
2013-10-24 03:00:00-05:00,200.0,632.722241666667,642.4444638888891,586.9791666666666,650.0,650.0,500.8402680555555,522.9097222222221,200.0,650.0,626.1111305555555,518.6805296296296,200.0,400.0815915509259,650.0,200.0,650.0,650.0,502.2499999999998
2013-10-24 04:00:00-05:00,200.0,632.722241666667,642.4444638888891,586.9791666666666,650.0,650.0,500.8402680555555,522.9097222222221,200.0,650.0,626.1111305555555,518.6197649305556,200.0,399.89929745370375,650.0,200.0,650.0,650.0,502.2499999999998
2013-10-24 05:00:00-05:00,200.0,632.722241666667,642.4444638888891,586.9791666666666,650.0,650.0,500.8402680555555,522.9097222222221,200.0,650.0,625.9895946759258,518.9235884259258,200.0,399.9600621527778,650.0,200.0,650.0,650.0,502.2499999999998
2013-10-24 06:00:00-05:00,200.0,632.722241666667,642.4444638888891,586.9791666666666,650.0,650.0,500.8402680555555,522.9097222222221,200.0,650.0,626.1111305555555,519.045117824074,200.0,400.32465034722213,650.0,200.0,650.0,650.0,502.2499999999998
2013-10-24 07:00:00-05:00,200.0,632.722241666667,642.4444638888891,586.9791666666666,650.0,650.0,500.8402680555555,522.9097222222221,200.0,650.0,626.1111305555555,543.3182627314815,200.0,399.89929745370375,650.0,200.0,650.0,650.0,502.2499999999998
2013-10-24 08:00:00-05:00,200.0,632.722241666667,642.4444638888891,586.9791666666666,650.0,650.0,500.8402680555555,522.9097222222221,200.0,650.0,625.5034511574072,650.0,200.0,399.77776805555555,650.0,560.6967414351852,650.0,650.0,502.2499999999998
2013-10-24 09:00:00-05:00,200.0,632.722241666667,642.4444638888891,586.9791666666666,650.0,650.0,500.8402680555555,524.2060185185187,200.0,650.0,625.9895946759258,650.0,200.0,399.8385327546296,650.0,595.6076291666666,650.0,650.0,502.2499999999998
2013-10-24 10:00:00-05:00,200.0,632.722241666667,597.7019724537038,586.9791666666666,650.0,650.0,500.8402680555555,567.7048611111112,200.0,650.0,626.1516357638887,650.0,200.0,400.20312094907405,650.0,429.5237244212964,650.0,650.0,502.2499999999998
2013-10-24 11:00:00-05:00,200.0,632.722241666667,569.381934722222,586.9791666666666,650.0,650.0,500.8402680555555,540.9322706018518,200.0,650.0,626.0503626157408,650.0,200.0,399.9600621527777,650.0,346.8888888888889,650.0,650.0,502.2499999999998
2013-10-24 12:00:00-05:00,200.0,632.722241666667,365.9201307870369,586.9791666666666,650.0,650.0,500.8402680555555,597.3778773148148,200.0,650.0,626.1111305555555,650.0,200.0,400.14235625000003,650.0,345.454847337963,650.0,650.0,502.2499999999998
2013-10-24 13:00:00-05:00,200.0,632.722241666667,263.9097124999999,586.9791666666666,650.0,650.0,500.8402680555555,615.125,200.0,650.0,626.1111305555555,650.0,200.0,400.50694444444446,650.0,344.89581388888894,650.0,650.0,502.2499999999998
2013-10-24 14:00:00-05:00,200.0,575.4907472222222,443.5439847222222,587.039928125,650.0,650.0,500.8402680555555,615.125,200.0,650.0,626.1111305555555,618.272545949074,200.0,400.02082685185195,650.0,344.89581388888894,650.0,650.0,502.2499999999998
2013-10-24 15:00:00-05:00,200.0,546.875,533.3611208333334,586.9791666666666,650.0,650.0,500.8402680555555,615.125,200.0,650.0,626.1111305555555,570.6944152777774,200.0,399.77776805555555,650.0,344.89581388888894,650.0,650.0,502.2499999999998
2013-10-24 16:00:00-05:00,200.0,546.875,533.3611208333334,586.9791666666666,650.0,650.0,500.8402680555555,613.4478947916665,200.0,650.0,575.5798440972222,570.9982387731482,200.0,399.89929745370375,650.0,344.89581388888894,650.0,650.0,502.2499999999998
2013-10-24 17:00:00-05:00,200.0,546.875,533.3611208333334,586.9791666666666,650.0,650.0,500.8402680555555,612.888859722222,200.0,650.0,558.7360819444444,570.815944675926,200.0,400.02082685185195,650.0,345.01734328703714,650.0,650.0,502.2499999999998
2013-10-24 18:00:00-05:00,200.0,546.875,533.3611208333334,586.9791666666666,650.0,650.0,500.8402680555555,612.888859722222,200.0,650.0,558.0879435185184,570.815944675926,200.0,399.77776805555555,650.0,344.89581388888894,650.0,650.0,502.2499999999998
2013-10-24 19:00:00-05:00,200.0,546.875,533.3611208333334,586.9791666666666,650.0,650.0,500.8402680555555,612.888859722222,200.0,650.0,556.9739510416666,570.9374740740741,200.0,400.14235625000003,650.0,344.89581388888894,650.0,650.0,502.2499999999998
2013-10-24 20:00:00-05:00,200.0,546.875,533.3611208333334,586.9791666666666,650.0,650.0,500.8402680555555,612.888859722222,200.0,650.0,556.9131895833334,570.8767093749998,200.0,399.9600621527778,650.0,344.89581388888894,650.0,650.0,502.2499999999998
2013-10-24 21:00:00-05:00,200.0,546.875,533.3611208333334,586.9791666666666,650.0,650.0,500.8402680555555,612.888859722222,200.0,650.0,556.9131895833334,570.998238773148,200.0,399.89929745370375,650.0,344.89581388888894,650.0,650.0,502.2499999999998
2013-10-24 22:00:00-05:00,200.0,546.875,533.3611208333334,586.9791666666666,650.0,650.0,500.8402680555555,612.888859722222,200.0,650.0,556.7916666666666,570.6944152777774,200.0,400.50694444444446,650.0,344.89581388888894,650.0,650.0,502.2499999999998
2013-10-24 23:00:00-05:00,200.0,628.5902680555555,533.3611208333334,586.9791666666666,650.0,650.0,500.8402680555555,612.888859722222,200.0,650.0,556.7916666666666,570.6944152777774,200.0,400.50694444444446,650.0,344.89581388888894,650.0,650.0,502.2499999999998
2013-10-25 00:00:00-05:00,200.0,571.2777745370369,533.3611208333334,586.9791666666666,650.0,650.0,500.8402680555555,612.888859722222,200.0,650.0,556.9131895833334,571.1197681712961,200.0,400.20312094907405,650.0,344.89581388888894,650.0,650.0,502.2499999999998
2013-10-25 01:00:00-05:00,200.0,588.5347222222221,533.3611208333334,586.9791666666666,650.0,650.0,500.8402680555555,612.888859722222,200.0,650.0,556.7916666666666,570.6944152777774,200.0,399.77776805555555,650.0,344.89581388888894,650.0,650.0,502.2499999999998
2013-10-25 02:00:00-05:00,200.0,582.6325231481479,533.3611208333334,586.9791666666666,650.0,650.0,500.8402680555555,612.888859722222,200.0,650.0,556.7916666666666,570.6944152777774,200.0,399.77776805555555,650.0,344.89581388888894,650.0,650.0,502.2499999999998
2013-10-25 03:00:00-05:00,200.0,517.7083333333334,533.3611208333334,586.9791666666666,650.0,650.0,500.8402680555555,612.888859722222,200.0,650.0,556.7916666666666,570.6944152777774,200.0,399.77776805555555,650.0,344.89581388888894,650.0,650.0,502.2499999999998
2013-10-25 04:00:00-05:00,200.0,517.7083333333334,533.3611208333334,586.9791666666666,650.0,650.0,500.8402680555555,612.888859722222,200.0,650.0,556.9131895833334,570.9374740740741,200.0,400.02082685185184,650.0,344.89581388888894,650.0,650.0,502.2499999999998
2013-10-25 05:00:00-05:00,200.0,517.7083333333334,533.3611208333334,586.9791666666666,650.0,650.0,500.8402680555555,612.888859722222,200.0,650.0,556.9131895833334,570.9982387731482,200.0,399.77776805555555,650.0,344.89581388888894,650.0,650.0,502.2499999999998
2013-10-25 06:00:00-05:00,200.0,517.7083333333334,533.3611208333334,586.9791666666666,650.0,650.0,500.8402680555555,612.888859722222,200.0,650.0,556.7916666666666,570.9374740740741,200.0,400.26388564814806,650.0,338.20369398148136,650.0,650.0,502.2499999999998
2013-10-25 07:00:00-05:00,200.0,517.7083333333334,533.3611208333334,586.9791666666666,650.0,650.0,500.8402680555555,551.5497498842592,200.0,650.0,556.852428125,570.6944152777774,200.0,399.9600621527778,650.0,334.49304583333327,650.0,650.0,502.2499999999998
2013-10-25 08:00:00-05:00,200.0,516.047451273148,533.3611208333334,586.9791666666666,650.0,650.0,500.8402680555555,530.796857175926,200.0,650.0,556.9739510416666,570.6944152777774,200.0,399.77776805555555,650.0,353.8686253472221,650.0,650.0,502.2499999999998
2013-10-25 09:00:00-05:00,200.0,587.9999878472221,533.3611208333334,586.9791666666666,650.0,650.0,500.8402680555555,522.9097222222221,200.0,650.0,557.0347125,570.8767093749998,200.0,399.9600621527777,650.0,567.3969850694443,650.0,650.0,502.2499999999998
2013-10-25 10:00:00-05:00,200.0,604.2847124999998,533.3611208333334,607.6145590277779,650.0,650.0,500.8402680555555,522.3466435185184,200.0,650.0,556.852428125,571.0590034722221,200.0,400.20312094907405,650.0,418.54165694444436,650.0,650.0,502.2499999999998
2013-10-25 11:00:00-05:00,200.0,604.2847124999998,371.1053224537036,641.4802770833334,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,557.0347125,571.4235916666665,200.0,400.50694444444446,650.0,269.40276805555555,650.0,650.0,547.4178175925923
2013-10-25 12:00:00-05:00,200.0,604.2847124999998,622.3680150462961,650.0,650.0,650.0,500.8402680555555,516.3026506944444,200.0,650.0,556.7916666666666,650.0,200.0,400.0815915509259,650.0,271.8495305555555,650.0,650.0,650.0
2013-10-25 13:00:00-05:00,200.0,604.2847124999998,650.0,650.0,650.0,650.0,500.8402680555555,517.0682611111109,200.0,650.0,556.9739510416666,650.0,200.0,400.02082685185184,650.0,521.9982493055555,650.0,650.0,650.0
2013-10-25 14:00:00-05:00,200.0,604.2847124999998,650.0,650.0,650.0,650.0,500.8402680555555,518.4860973379629,200.0,650.0,556.7916666666666,650.0,200.0,399.9600621527778,650.0,358.4259299768519,650.0,650.0,650.0
2013-10-25 15:00:00-05:00,200.0,604.2847124999998,650.0,600.1041472222224,650.0,650.0,500.8402680555555,517.9999902777777,200.0,650.0,557.3992812500002,650.0,200.0,399.77776805555555,650.0,334.65913541666663,650.0,650.0,650.0
2013-10-25 16:00:00-05:00,200.0,604.2847124999998,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.2743006944446,200.0,650.0,556.7916666666666,650.0,200.0,399.89929745370375,650.0,229.76041180555563,650.0,650.0,650.0
2013-10-25 17:00:00-05:00,200.0,604.2847124999998,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.7916666666666,650.0,200.0,399.77776805555555,650.0,230.12500000000006,650.0,650.0,650.0
2013-10-25 18:00:00-05:00,200.0,634.9826388888891,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.852428125,650.0,200.0,399.77776805555555,650.0,229.88194120370372,650.0,650.0,650.0
2013-10-25 19:00:00-05:00,200.0,650.0,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.7916666666666,650.0,200.0,400.14235625000003,650.0,229.76041180555552,650.0,650.0,650.0
2013-10-25 20:00:00-05:00,200.0,650.0,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.7916666666666,650.0,200.0,400.32465034722213,650.0,229.3958236111111,650.0,650.0,650.0
2013-10-25 21:00:00-05:00,200.0,528.8888694444444,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.7916666666666,650.0,200.0,400.14235625000003,650.0,229.94270590277782,650.0,650.0,650.0
2013-10-25 22:00:00-05:00,200.0,528.8888694444444,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.7916666666666,650.0,200.0,400.32465034722213,650.0,229.57811770833328,650.0,650.0,650.0
2013-10-25 23:00:00-05:00,200.0,528.8888694444444,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,557.0347125000002,650.0,200.0,399.9600621527778,650.0,230.00347060185192,650.0,650.0,650.0
2013-10-26 00:00:00-05:00,200.0,528.8888694444444,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,557.1562354166667,650.0,200.0,399.89929745370375,650.0,229.76041180555563,650.0,650.0,650.0
2013-10-26 01:00:00-05:00,200.0,528.8888694444444,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,557.0954739583334,650.0,200.0,400.20312094907405,650.0,229.82117650462962,650.0,650.0,650.0
2013-10-26 02:00:00-05:00,200.0,528.8888694444444,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,557.0954739583333,650.0,200.0,400.20312094907405,650.0,229.57811770833328,650.0,650.0,650.0
2013-10-26 03:00:00-05:00,200.0,528.8888694444444,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,557.0347125,650.0,200.0,399.89929745370375,650.0,229.88194120370378,650.0,650.0,650.0
2013-10-26 04:00:00-05:00,200.0,528.8888694444444,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.852428125,650.0,200.0,400.26388564814806,650.0,230.12500000000006,650.0,650.0,650.0
2013-10-26 05:00:00-05:00,200.0,528.8888694444444,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.7916666666666,650.0,200.0,399.77776805555555,650.0,230.12500000000006,650.0,650.0,650.0
2013-10-26 06:00:00-05:00,200.0,528.8888694444444,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.9739510416666,650.0,200.0,399.77776805555555,650.0,230.12500000000006,650.0,650.0,650.0
2013-10-26 07:00:00-05:00,200.0,528.8888694444444,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.9131895833334,650.0,200.0,399.77776805555555,650.0,229.69964710648142,650.0,650.0,650.0
2013-10-26 08:00:00-05:00,200.0,528.8888694444444,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.7916666666666,650.0,200.0,400.0815915509259,650.0,229.69964710648154,650.0,650.0,650.0
2013-10-26 09:00:00-05:00,200.0,528.8888694444444,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.7916666666666,650.0,200.0,400.38541504629626,650.0,230.06423530092596,650.0,650.0,650.0
2013-10-26 10:00:00-05:00,200.0,650.0,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.7916666666666,650.0,200.0,399.77776805555555,650.0,230.06423530092596,650.0,650.0,650.0
2013-10-26 11:00:00-05:00,200.0,650.0,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.7916666666666,650.0,200.0,399.89929745370375,650.0,229.69964710648154,650.0,650.0,650.0
2013-10-26 12:00:00-05:00,200.0,650.0,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.7997587962961,650.0,200.0,400.14235625000003,650.0,229.82117650462968,650.0,650.0,650.0
2013-10-26 13:00:00-05:00,200.0,650.0,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.7916666666666,650.0,200.0,400.26388564814806,650.0,200.0,650.0,650.0,650.0
2013-10-26 14:00:00-05:00,200.0,650.0,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.6782358796296,650.0,200.0,400.44617974537033,650.0,200.0,650.0,650.0,650.0
2013-10-26 15:00:00-05:00,200.0,627.8124708333331,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.7916666666666,650.0,200.0,399.77776805555555,650.0,200.0,650.0,650.0,650.0
2013-10-26 16:00:00-05:00,200.0,627.8124708333331,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.7916666666666,650.0,200.0,399.8385327546296,650.0,200.0,650.0,650.0,650.0
2013-10-26 17:00:00-05:00,200.0,627.8124708333331,650.0,600.1041472222224,650.0,650.0,500.8402680555555,515.9664319444447,200.0,650.0,556.852428125,650.0,200.0,399.8385327546296,650.0,200.0,650.0,650.0,650.0
2013-10-26 18:00:00-05:00,200.0,627.8124708333331,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,557.2169968750001,650.0,200.0,400.38541504629626,650.0,200.0,650.0,650.0,650.0
2013-10-26 19:00:00-05:00,200.0,627.8124708333331,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,557.0347125,650.0,200.0,400.20312094907405,650.0,200.0,650.0,650.0,650.0
2013-10-26 20:00:00-05:00,200.0,627.8124708333331,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.7916666666666,650.0,200.0,399.77776805555555,650.0,200.0,650.0,650.0,650.0
2013-10-26 21:00:00-05:00,200.0,627.8124708333331,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.7916666666666,650.0,200.0,400.38541504629626,650.0,200.0,650.0,650.0,650.0
2013-10-26 22:00:00-05:00,200.0,627.8124708333331,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,557.0347125,650.0,200.0,400.50694444444446,650.0,200.0,650.0,650.0,650.0
2013-10-26 23:00:00-05:00,200.0,627.8124708333331,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.7916666666666,650.0,200.0,400.14235625000003,650.0,200.0,650.0,650.0,650.0
2013-10-27 00:00:00-05:00,200.0,627.8124708333331,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.7916666666666,650.0,200.0,399.77776805555555,650.0,200.0,650.0,650.0,650.0
2013-10-27 01:00:00-05:00,200.0,545.4531104166666,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.7916666666666,650.0,200.0,399.77776805555555,650.0,200.0,650.0,650.0,650.0
2013-10-27 02:00:00-05:00,200.0,517.9999902777777,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.7916666666666,650.0,200.0,399.77776805555555,650.0,200.0,650.0,650.0,650.0
2013-10-27 03:00:00-05:00,200.0,517.9999902777777,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.7916666666666,650.0,200.0,399.77776805555555,650.0,200.0,650.0,650.0,650.0
2013-10-27 04:00:00-05:00,200.0,517.9999902777777,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.7916666666666,650.0,200.0,399.77776805555555,650.0,200.0,650.0,650.0,650.0
2013-10-27 05:00:00-05:00,200.0,517.9999902777777,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.7916666666666,650.0,200.0,399.77776805555555,650.0,200.0,650.0,650.0,650.0
2013-10-27 06:00:00-05:00,200.0,517.9999902777777,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.7916666666666,650.0,200.0,399.77776805555555,650.0,200.0,650.0,650.0,650.0
2013-10-27 07:00:00-05:00,200.0,517.9999902777777,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.7916666666666,650.0,200.0,399.77776805555555,650.0,200.0,650.0,650.0,650.0
2013-10-27 08:00:00-05:00,200.0,517.9999902777777,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.7916666666666,650.0,200.0,399.77776805555555,650.0,200.0,650.0,650.0,650.0
2013-10-27 09:00:00-05:00,200.0,517.9999902777777,650.0,600.1041472222224,650.0,650.0,500.8402680555555,516.1527777777779,200.0,650.0,556.7916666666666,650.0,200.0,399.77776805555555,650.0,200.0,650.0,650.0,650.0
